10746,[96,207,294,688,4440,5084,5624,5737,6547],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[213,851,1182,2518,4778,7416,8273,10152,10360,10463],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[936,1182,6183,8273,8982,9812,10396],[1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[936,2348,2527,4582,7367,7582,7997,8982],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[2530,3442,4258,4825,6229,7506,7922,9289],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[143,1255,4525,6167,8552,9410,9841,10115],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[1036,1785,2436,2493,4058,4576,6401,10068],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[1275,2530,2799,5069,5604,9273,9632,10419],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[1275,1326,1428,2530,4058,5069,7202,9273],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[1706,2079,2530,5741,10068,10222,10419,10621],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[1428,1528,2916,4693,5641,6271,8041,8251],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[275,1144,1673,4084,4525,5710,6952,7033],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[841,2530,3440,4058,4191,4650,9495,10082],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
10746,[688,1673,2167,3545,7187,8070,9632,10665],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]
